Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
748,THORNHILL/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,19000,7000,18.7 km,37 km/h,210,17786,63,40,0,0,71%,188981,2739,Haney Place; Port Haney,West Coast Express,42921.48403,2019,200,42921.48403
749,RUSKIN/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,14000,7000,19.4 km,41 km/h,205,22496,79,55,0,0,76%,174890,2535,Haney Place,None,46581.72591,2019,201,46581.72591
791,HANEY PLACE/BRAID STN,Maple Ridge/Pitt Meadows,Std. Bus,Basic,36000,24000,25.9 km,33 km/h,107,635884,2547,0,0,206,78%,2024777,18748,Braid; Haney Place; Maple Meadows; Pitt Meadows,Expo/Millennium Line; West Coast Express,66934.81287,2019,202,66934.81287
N10,DOWNTOWN/RICHMOND NIGHTBUS,Vancouver/UBC,Std. Bus,Special,112000,159000,19.4 km,28 km/h,182,75067,194,312,171,27,65%,458218,4243,Aberdeen; Bridgeport; Granville; Lansdowne; NightBus District; Richmond-Brighouse; Sea Island Centre; Templeton; Vancouver City Centre; YVR-Airport,Canada Line; Expo/Millennium Line,52245.27585,2019,203,52245.27585
N15,DOWNTOWN/CAMBIE NIGHTBUS,Vancouver/UBC,Std. Bus,Special,106000,157000,9.7 km,22 km/h,209,18150,43,91,42,2,64%,116305,1077,Broadway-City Hall; Granville; King Edward; Langara-49th Avenue; Marine Drive; NightBus District; Oakridge-41st Avenue; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,27178.28804,2019,204,27178.28804
N17,DOWNTOWN/UBC NIGHTBUS,Vancouver/UBC,Artic. Bus,Special,98000,153000,11.5 km,25 km/h,192,52023,127,274,98,7,66%,303552,2811,Granville; NightBus District; UBC; Vancouver City Centre,Canada Line; Expo/Millennium Line,25927.49173,2019,205,25927.49173
N19,DOWNTOWN/SURREY CTRL STN NIGHTBUS,Burnaby/New Westminster,Artic. Bus,Special,211000,181000,27.4 km,22 km/h,140,224334,455,1121,848,444,71%,801878,7425,Columbia; Granville; Main Street-Science World; New Westminster; NightBus District; Scott Road; Surrey Central; Vancouver City Centre,Canada Line; Expo/Millennium Line,59751.22008,2019,206,59751.22008
N20,DOWNTOWN/VICTORIA NIGHTBUS,Vancouver/UBC,Std. Bus,Special,134000,144000,15.9 km,20 km/h,168,117139,318,589,119,49,75%,519760,4813,Commercial-Broadway; Granville; Knight Street-Marine Drive; Marine Drive; NightBus District; Vancouver City Centre,Canada Line; Expo/Millennium Line,31280.26543,2019,207,31280.26543
N22,DOWNTOWN/MACDONALD NIGHTBUS,Vancouver/UBC,Std. Bus,Special,92000,121000,10.8 km,25 km/h,206,20092,49,105,39,3,77%,123516,1144,Burrard; Dunbar; NightBus District; Vancouver City Centre,Canada Line; Expo/Millennium Line,20526.14291,2019,208,20526.14291
N24,DOWNTOWN/ LYNN VALLEY NIGHTBUS,North Shore,Std. Bus,Special,125000,149000,17.7 km,24 km/h,187,63106,136,287,230,17,75%,414797,3841,Burrard; Granville; Lynn Valley Centre NightBus; NightBus District; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,34418.31936,2019,209,34418.31936
N35,DOWNTOWN/SFU NIGHTBUS,Burnaby/New Westminster,Artic. Bus,Special,100000,147000,17.8 km,25 km/h,170,112296,291,470,245,20,75%,578718,5359,Granville; Kootenay; NightBus District; SFU; Vancouver City Centre,Canada Line; Expo/Millennium Line,38073.14044,2019,210,38073.14044
N8,DOWNTOWN/FRASER NIGHTBUS,Vancouver/UBC,Std. Bus,Special,122000,143000,12.6 km,18 km/h,174,90963,277,336,71,55,81%,412656,3821,Granville; Main Street-Science World; Marine Drive; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,27352.56623,2019,211,27352.56623
N9,DOWNTOWN/LOUGHEED STN/COQ CTRL STN NIGHTBUS,Vancouver/UBC,Std. Bus,Special,221000,220000,28.1 km,31 km/h,167,117865,250,536,440,169,78%,808022,7482,Boundary; Brentwood Town Centre; Broadway-City Hall; Burquitlam; Commercial-Broadway; Coquitlam Central; Gilmore; Granville; Holdom; Inlet Centre; Lafarge Lake-Douglas; Lake City Way; Lincoln; Lougheed Town Centre; NightBus District; Production Way-U,Canada Line; Expo/Millennium Line; West Coast Express,86992.47214,2019,212,86992.47214
42,ALMA/SPANISH BANKS,Vancouver/UBC,Mini-Bus,Special,8000,2000,,26 km/h,215,5774,0,105,205,0,94%,35359,512,None,None,7101.421876,2019,213,7101.421876
132,CAPITOL HILL/HASTINGS AT GILMORE,Burnaby/New Westminster,Mini-Bus,Basic,13000,3000,3.7 km,22 km/h,191,56441,179,112,94,0,87%,199008,2884,None,None,6925.443141,2019,214,6925.443141
231,HARBOURSIDE/LONSDALE QUAY,North Shore,Std. Bus,Peak Only Limited,9000,10000,2.8 km,17 km/h,200,28910,116,0,0,0,90%,107611,996,Lonsdale Quay,None,4873.195103,2019,215,4873.195103
370,CLOVERDALE/WILLOWBROOK,Southeast,Mini-Bus,Basic,31000,9000,10.5 km,24 km/h,161,129023,434,201,163,,,504452,7311,None,None,18065.70479,2019,216,18065.70479
SeaBus,WATERFRONT STN/LONSDALE QUAY,North Shore,SeaBus,Special,19000,60000,3.2 km,,11,6652447,19840,16872,13045,,,10906182,68700,Lonsdale Quay; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,4701.44855,2019,217,4701.44855
2,MACDONALD/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,88000,133000,8.6 km,17 km/h,15,3170823,9462,8057,6079,3489,85%,6711208,62141,Burrard; Dunbar,Expo/Millennium Line,20806.0846,2022,218,20806.08458
3,MAIN/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,85000,112000,10.5 km,14 km/h,14,3395144,9899,9141,7018,150,75%,6169846,57128,Main Street-Science World; Marine Drive; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,22572.01023,2022,219,22572.01024
4,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,129000,182000,13 km,19 km/h,30,1994381,5825,5089,4319,3155,79%,6707529,62107,Blanca; Granville; NightBus District; UBC; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,46162.71077,2022,220,46162.71023
005/006,ROBSON–DAVIE/DOWNTOWN,Vancouver/UBC,Std. Trolley,All Day Frequent,121000,170000,2.9 km,10 km/h,11,4103836,11905,10670,9046,4775,83%,8618773,79803,Burrard; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,11317.89859,2022,221,11317.89843
7,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Standard,153000,181000,15.4 km,17 km/h,17,3051087,8912,8215,6241,1995,75%,8275104,76621,Dunbar; Granville; Nanaimo; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,42065.66403,2022,222,42065.66301
8,FRASER/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,87000,112000,7.2 km,14 km/h,20,2811072,8276,7321,5695,447,78%,5458270,50540,Main Street-Science World; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,19962.39624,2022,223,19962.39594
9,BDRY/COMM-BWY/GRAN/ALMA/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,115000,86000,9.4 km,16 km/h,13,3535996,10725,7882,7004,3322,85%,9465116,87640,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,32976.69775,2022,224,32976.69766
10,GRANVILLE/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,104000,161000,10.6 km,16 km/h,23,2658876,8185,6012,4709,117,78%,6215234,57548,Granville; Marine Drive; Marpole; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,31379.1277,2022,225,31379.12715
14,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,152000,199000,12.7 km,18 km/h,21,2810509,7804,8746,6400,4481,77%,9219388,85365,Blanca; Granville; Kootenay; NightBus District; UBC; Vancouver City Centre,Canada Line; Expo/Millennium Line,47102.79437,2022,226,47102.79375
015/050,CAMBIE/OLYMPIC VLG STN – WATERFRONT STN/FALSE CREEK S,Vancouver/UBC,Std. Bus,Peak Frequent,130000,189000,7.1 km,16 km/h,29,1994648,5693,5542,4476,1169,80%,6211980,57518,Broadway-City Hall; Granville; King Edward; Langara-49th Avenue; Marine Drive; NightBus District; Oakridge-41st Avenue; Olympic Village; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40758.90114,2022,227,40758.90014
16,29TH AVENUE STN/ARBUTUS,Vancouver/UBC,Std. Trolley,All Day Frequent,161000,210000,17.1 km,16 km/h,7,4626813,13819,11550,8994,7156,82%,10987222,101734,29th Avenue; Granville; NightBus District; Renfrew; Vancouver City Centre,Canada Line; Expo/Millennium Line,45797.82517,2022,228,45797.82463
17,DOWNTOWN/OAK,Vancouver/UBC,Std. Trolley,All Day Frequent,95000,162000,11.5 km,16 km/h,31,1905485,5823,4265,3581,69,71%,5286047,48945,Broadway-City Hall; Granville; Marine Drive,Canada Line; Expo/Millennium Line,27395.67623,2022,229,27395.67591
19,METROTOWN STN/STANLEY PARK,Vancouver/UBC,Std. Trolley,All Day Frequent,149000,186000,10.6 km,15 km/h,12,3988636,11269,10929,9546,3725,72%,9455227,87548,Burrard; Main Street-Science World; Metrotown; Stanley Park,Expo/Millennium Line,28000.07039,2022,230,28000.07028
20,VICTORIA/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,109000,155000,8.7 km,14 km/h,9,4176917,12449,10449,8207,800,80%,8078562,74802,Commercial-Broadway; Granville,Canada Line; Expo/Millennium Line,22521.22822,2022,231,22521.22835
22,KNIGHT/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,109000,164000,10.5 km,17 km/h,28,2385607,7317,5309,4404,3065,84%,6328894,58601,Burrard; Knight Street-Marine Drive; Main Street-Science World,Expo/Millennium Line,39418.72849,2022,232,39418.72801
23,MAIN ST/BEACH,Vancouver/UBC,Mini-Bus,Peak Frequent,98000,121000,5.4 km,15 km/h,54,1129488,3305,2994,2328,876,82%,2502085,36262,Main Street-Science World; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,13586.50145,2022,233,13586.50129
25,BRENTWOOD STN/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,102000,50000,17.6 km,22 km/h,5,5668165,17850,11643,9393,22148,83%,12000638,111117,Brentwood Town Centre; King Edward; Nanaimo; UBC,Canada Line; Expo/Millennium Line,59843.4982,2022,234,59843.49891
26,JOYCE STN/29TH AVENUE STN,Vancouver/UBC,Std. Bus,Peak Frequent,70000,13000,10.8 km,20 km/h,59,1056394,3351,2216,1614,70,91%,2951485,27329,29th Avenue; Joyce-Collingwood,Expo/Millennium Line,19092.46187,2022,235,19092.46192
27,KOOTENAY LOOP/JOYCE STN,Vancouver/UBC,Std. Bus,Peak Frequent,56000,24000,5.7 km,17 km/h,64,985761,2994,2442,1732,35,88%,2093618,19385,Joyce-Collingwood; Kootenay; Rupert,Expo/Millennium Line,19823.11172,2022,236,19823.11147
28,PHIBBS EXCH/JOYCE STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,56000,33000,7.2 km,22 km/h,43,1428689,4383,3198,2615,97,83%,3563545,32996,Gilmore; Joyce-Collingwood; Kootenay; Phibbs,Expo/Millennium Line,30367.42866,2022,237,30367.42878
29,ELLIOTT/29TH AVENUE STN,Vancouver/UBC,Std. Bus,Peak Frequent,33000,6000,4.5 km,19 km/h,100,538247,1676,1198,890,30,93%,1216024,11259,29th Avenue,Expo/Millennium Line,7372.395133,2022,238,7372.395206
33,29 AVE STN/ UBC,Vancouver/UBC,Std. Bus,Peak Frequent,93000,39000,17.9 km,21 km/h,33,1884403,6074,3600,2783,3132,81%,4547934,42111,29th Avenue; King Edward; UBC,Canada Line; Expo/Millennium Line,40278.88258,2022,239,40278.88278
41,JOYCE STN/CROWN,Vancouver/UBC,Std. Trolley,All Day Frequent,75000,12000,8.4 km,20 km/h,41,1604755,4416,4597,4149,689,87%,5372942,49749,Dunbar; Joyce-Collingwood; Oakridge-41st Avenue,Canada Line; Expo/Millennium Line,27300.00571,2022,240,27300.0058
44,UBC/DOWNTOWN,Vancouver/UBC,Artic. Bus,Standard,83000,151000,12.1 km,22 km/h,77,765312,3049,0,0,729,83%,1851671,17145,Burrard; UBC; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,26367.29052,2022,241,26367.28994
49,METROTOWN STN/DUNBAR LOOP/UBC,Vancouver/UBC,Artic. Bus,All Day Frequent,97000,68000,15 km,22 km/h,3,7343561,23072,14947,12502,24064,80%,12012080,111223,Dunbar; Langara-49th Avenue; Metrotown; UBC,Canada Line; Expo/Millennium Line,43855.49057,2022,242,43855.37733
84,UBC/VCC-CLARK STATION,Vancouver/UBC,Artic. Bus,Peak Frequent,75000,77000,13.7 km,24 km/h,32,1898947,6347,3619,1896,1040,79%,4167713,38590,Olympic Village; UBC; VCC-Clark,Canada Line; Expo/Millennium Line,29058.53594,2022,243,29058.53547
99,COMMERCIAL-BROADWAY/UBC (B-LINE),Vancouver/UBC,Artic. Bus,All Day Frequent,91000,73000,13.8 km,21 km/h,1,9720221,30778,20708,14810,12684,81%,14749254,136567,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,31566.37172,2022,244,31566.3718
100,22ND ST/MARPOLE LOOP,Vancouver/UBC,Std. Bus,All Day Frequent,59000,40000,16.5 km,24 km/h,16,3135366,9532,7159,5976,3973,85%,7619749,70553,22nd Street; Knight Street-Marine Drive; Marine Drive; Marpole,Canada Line; Expo/Millennium Line,42066.86556,2022,245,42066.86509
101,LOUGHEED STN/22ND ST,Burnaby/New Westminster,Std. Bus,Standard,76000,28000,10 km,22 km/h,76,777615,2458,1564,1279,161,81%,2388155,22113,22nd Street; Edmonds; Lougheed Town Centre,Expo/Millennium Line,27395.73305,2022,246,27395.73336
103,QUAYSIDE/VICTORIA HILL,Burnaby/New Westminster,Mini-Bus,All Day Frequent,27000,13000,2.9 km,13 km/h,115,372041,1157,807,639,17,90%,1275452,18485,Columbia; New Westminster,Expo/Millennium Line,8062.737318,2022,247,8062.737133
104,22ND ST/ANNACIS ISLAND,Southeast,Std. Bus,Peak Frequent,11000,12000,11.3 km,27 km/h,74,802211,2764,1194,749,1341,76%,1899527,17588,22nd Street,Expo/Millennium Line,27643.93471,2022,248,27643.93496
105,UPTOWN/NEW WESTMINSTER STATION,Burnaby/New Westminster,Mini-Bus,Standard,37000,18000,6.8 km,18 km/h,132,227355,686,551,428,4,77%,873377,12658,Columbia; New Westminster,Expo/Millennium Line,14314.8308,2022,249,14314.8308
106,NEW WESTMINSTER STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,56000,24000,6.3 km,16 km/h,25,2617063,7964,6426,4581,2606,88%,3861542,35755,Edmonds; New Westminster,Expo/Millennium Line,11212.06864,2022,250,11212.06903
109,NEW WESTMINSTER STN/LOUGHEED STN,Burnaby/New Westminster,Mini-Bus,Basic,47000,26000,7.3 km,21 km/h,151,104950,330,219,174,7,94%,688698,9981,Columbia; Lougheed Town Centre; New Westminster; Sapperton,Expo/Millennium Line,12061.27286,2022,251,12061.27339
110,LOUGHEED STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard,75000,50000,11.9 km,23 km/h,78,765197,2469,1417,1157,470,84%,3383442,31328,Lougheed Town Centre; Metrotown; Patterson; Production Way-University; Sperling-Burnaby Lake,Expo/Millennium Line,39186.05216,2022,252,39186.05164
112,EDMONDS STN/NEW WEST,Burnaby/New Westminster,Std. Bus,Peak Frequent,48000,10000,4.2 km,19 km/h,70,933159,2918,2185,1407,41,94%,2014423,18652,Edmonds; New Westminster,Expo/Millennium Line,9072.153441,2022,253,9072.153477
116,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,53000,33000,15.3 km,26 km/h,57,1088790,3832,1327,934,1260,88%,3129565,28977,Edmonds; Metrotown,Expo/Millennium Line,36748.14452,2022,254,36748.03105
119,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,63000,35000,5.7 km,17 km/h,38,1786172,5314,4476,3543,550,94%,3262043,30204,Edmonds; Metrotown,Expo/Millennium Line,9188.355389,2022,255,9188.355636
123,NEW WEST/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,65000,40000,10 km,21 km/h,37,1843269,5716,3956,3273,1786,88%,4459387,41291,Brentwood Town Centre; New Westminster,Expo/Millennium Line,23425.76246,2022,256,23425.76245
128,BRAID STN/22ND STREET STN,Burnaby/New Westminster,Std. Bus,Standard,28000,12000,5.5 km,21 km/h,90,637060,2088,1152,856,241,95%,1955923,18110,22nd Street; Braid,Expo/Millennium Line,11435.20703,2022,257,11435.20725
129/133,PATTERSON STN/HOLDOM STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,111000,64000,9.6 km,20 km/h,46,1400120,4487,2734,2126,179,85%,4692654,43451,Edmonds; Holdom; Metrotown; Patterson,Expo/Millennium Line,37629.52194,2022,258,37629.522
130,METROTOWN/PENDER/KOOTENAY,Burnaby/New Westminster,Std. Bus,All Day Frequent,70000,54000,8.3 km,19 km/h,27,2576484,7961,5906,4373,3064,78%,5213284,48271,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,31268.44352,2022,259,31268.44335
131,HASTINGS AT GILMORE/KOOTENAY LOOP,Burnaby/New Westminster,Mini-Bus,Basic,21000,6000,4.5 km,21 km/h,187,28766,90,62,50,0,84%,388469,5630,Kootenay,None,8954.284787,2022,260,8954.285015
134,LAKE CITY STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,42000,19000,9.7 km,23 km/h,116,365626,1123,805,677,21,86%,1875190,19139,Brentwood Town Centre; Sperling-Burnaby Lake,Expo/Millennium Line,31458.24023,2022,261,31458.24022
136,LOUGHEED STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,57000,33000,12.2 km,26 km/h,119,359037,1101,819,646,9,79%,1997044,20394,Brentwood Town Centre; Holdom; Lougheed Town Centre; Production Way-University,Expo/Millennium Line,34342.77536,2022,262,34342.77576
143,BURQUITLAM STN/SFU,Northeast Sector,Artic. Bus,Standard,18000,5000,7 km,32 km/h,118,362793,1445,0,0,353,94%,1144003,10593,Burquitlam; SFU,Expo/Millennium Line,17810.23983,2022,263,17810.23998
144,SFU/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,62000,32000,16 km,25 km/h,50,1243758,4007,2411,1817,1107,88%,4400883,40749,Metrotown; SFU; Sperling-Burnaby Lake,Expo/Millennium Line,40835.26057,2022,264,40835.26042
145,SFU/PRODUCTION STN,Burnaby/New Westminster,Artic. Bus,Peak Frequent,15000,8000,8 km,31 km/h,47,1300751,4543,1658,1198,827,96%,3060437,28337,Production Way-University; SFU,Expo/Millennium Line,21413.1081,2022,265,21413.10842
146,METROTOWN STN/SUNCREST,Burnaby/New Westminster,Mini-Bus,Standard,32000,26000,3.4 km,24 km/h,159,81779,246,197,157,1,81%,393010,5696,Metrotown,Expo/Millennium Line,7664.294463,2022,266,7664.294174
147,METROTOWN STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,58000,30000,6.7 km,23 km/h,117,364729,1138,760,637,30,93%,1103161,15988,Edmonds; Metrotown,Expo/Millennium Line,11401.75951,2022,267,11401.75954
148,ROYAL OAK STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,36000,17000,6.3 km,28 km/h,126,287683,911,559,482,4,88%,797451,11557,Edmonds; Royal Oak,Expo/Millennium Line,10609.24724,2022,268,10609.24692
150,COQUITLAM CENTRAL STN/WHITE PINE BEACH,Northeast Sector,Artic. Bus,Seasonal - Limited,25000,12000,11.2 km,30 km/h,185,32303,326,368,403,0,92%,201251,1863,Coquitlam Central,Expo/Millennium Line; West Coast Express,22444.95613,2022,269,22444.95629
151,COQUITLAM CTRL STN/BURQUITLAM STN,Northeast Sector,Std. Bus,Standard,35000,9000,8 km,27 km/h,124,309990,972,637,529,20,94%,1676540,15524,Burquitlam; Coquitlam Central,Expo/Millennium Line; West Coast Express,20596.36419,2022,270,20596.36448
152,COQUITLAM CENTRAL STN/LOUGHEED STN,Northeast Sector,Std. Bus,Peak Frequent,50000,20000,13.1 km,25 km/h,81,736745,2360,1434,1126,282,94%,2420260,22410,Coquitlam Central; Lougheed Town Centre,Expo/Millennium Line; West Coast Express,32164.60797,2022,271,32164.60793
153,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Peak Frequent,31000,15000,9.8 km,26 km/h,99,538651,1826,747,668,74,91%,2098341,20955,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,21722.13484,2022,272,21722.13476
155,BRAID STN/22ND STREET  STN,Burnaby/New Westminster,Std. Bus,Standard,33000,17000,7.5 km,19 km/h,96,566519,1752,1298,958,25,91%,1716910,15897,22nd Street; Braid,Expo/Millennium Line,12410.59172,2022,273,12410.59219
156,BRAID STN/LOUGHEED STN,Northeast Sector,Std. Bus,Basic,55000,21000,15.1 km,24 km/h,95,572185,1827,1391,668,43,86%,2225725,20609,Braid; Burquitlam; Lougheed Town Centre,Expo/Millennium Line,26834.18551,2022,274,26834.18483
157,BURQUITLAM STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Standard,45000,17000,11.2 km,24 km/h,120,357798,1090,796,689,31,89%,1568326,19071,Burquitlam; Lougheed Town Centre,Expo/Millennium Line,20800.73045,2022,275,20800.73067
159,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Basic,40000,25000,16.3 km,25 km/h,89,639523,2074,1414,733,124,83%,2910476,26949,Braid; Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,46293.39225,2022,276,46293.39221
160,PORT COQUITLAM STN/KOOTENAY LOOP,Northeast Sector,Std. Bus,All Day Frequent,86000,43000,26.2 km,26 km/h,58,1069906,3235,2535,2034,114,82%,6819111,63140,Coquitlam Central; Inlet Centre; Kootenay; Lafarge Lake-Douglas; Lincoln; Moody Centre; Port Coquitlam,Expo/Millennium Line; West Coast Express,65899.87816,2022,277,65899.87804
169,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Mini-Bus,Standard,18000,13000,11.1 km,29 km/h,130,251031,655,774,749,0,93%,1232335,15325,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,29076.44036,2022,278,29076.44078
170,PT COQUITLAM STN/PT COQUITLAM SOUTH,Northeast Sector,Mini-Bus,Peak Frequent,18000,11000,4.4 km,23 km/h,167,72808,249,104,79,0,89%,635036,9203,Port Coquitlam,West Coast Express,12476.92819,2022,279,12476.92813
171/172,COQUITLAM CENTRAL STN/FREMONT–RIVERSIDE,Northeast Sector,Mini-Bus,Peak Frequent,37000,15000,8.8 km,26 km/h,109,427225,1398,892,483,108,86%,1875192,27079,Coquitlam Central,Expo/Millennium Line; West Coast Express,31606.55477,2022,280,31606.55472
173/174,COQUITLAM CENTRAL STN/CEDAR–ROCKLIN,Northeast Sector,Mini-Bus,Peak Frequent,43000,20000,10.9 km,25 km/h,125,300954,985,605,358,20,77%,2454023,35566,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,31558.67396,2022,281,31558.6739
175,COQUITLAM CENTRAL STN/MERIDIAN,Northeast Sector,Mini-Bus,Peak Only - Limited,23000,19000,8.3 km,22 km/h,161,80493,321,0,0,6,82%,415211,6018,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,17754.91694,2022,282,17754.91692
179,COQUITLAM CENTRAL STN/BUNTZEN LAKE,Northeast Sector,Std. Bus,Seasonal - Limited,30000,12000,12 km,30 km/h,201,8016,0,211,201,0,78%,76889,712,Coquitlam Central; Inlet Centre,Expo/Millennium Line; West Coast Express,23816.28942,2022,283,23816.28943
180,MOODY CTR STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Peak Frequent,42000,16000,9.8 km,23 km/h,98,566055,1863,975,769,33,90%,2307460,27342,Burquitlam; Lougheed Town Centre; Moody Centre,Expo/Millennium Line; West Coast Express,19371.11913,2022,284,19371.11903
181,MOODY CTR STN/IOCO,Northeast Sector,Mini-Bus,Basic,16000,7000,12.3 km,32 km/h,178,45658,153,75,55,0,89%,483298,7004,Moody Centre,Expo/Millennium Line; West Coast Express,29676.434,2022,285,29676.43406
182,MOODY CTR STN/BELCARRA,Northeast Sector,Mini-Bus,Basic,22000,8000,19.3 km,34 km/h,158,84485,264,176,147,12,80%,900376,13049,Moody Centre,Expo/Millennium Line; West Coast Express,32886.24039,2022,286,32886.24057
183,MOODY CTR STN/COQUITLAM CENTRAL STN,Northeast Sector,Std. Bus,Peak Frequent,60000,22000,13.5 km,25 km/h,112,386857,1267,692,532,30,88%,2740231,30121,Coquitlam Central; Inlet Centre; Lafarge Lake-Douglas; Lincoln; Moody Centre,Expo/Millennium Line; West Coast Express,27251.82411,2022,287,27251.82424
184/185,MOODY CTR STN/NOONS CREEK – COQ CTRL STN/LANSDOWNE,Northeast Sector,Mini-Bus,Peak Frequent,37000,16000,5.3 km,25 km/h,140,171479,572,290,206,3,91%,1458260,21134,Coquitlam Central; Inlet Centre; Moody Centre,Expo/Millennium Line; West Coast Express,19585.63547,2022,288,19585.63582
186,COQUITLAM CENTRAL STN/HAMPTON PARK,Northeast Sector,Mini-Bus,Peak Frequent,37000,14000,6.7 km,24 km/h,136,195331,609,425,328,104,90%,845912,12260,Coquitlam Central; Lafarge Lake-Douglas; Lincoln,Expo/Millennium Line; West Coast Express,16203.02912,2022,289,16203.0294
187,COQUITLAM CENTRAL STN/PARKWAY BLVD,Northeast Sector,Mini-Bus,Peak Frequent,31000,10000,6.5 km,24 km/h,134,223319,713,443,342,21,89%,948494,13746,Coquitlam Central,Expo/Millennium Line; West Coast Express,19709.30791,2022,290,19709.30777
188,COQUITLAM CENTRAL STN/PORT COQ STN,Northeast Sector,Std. Bus,Peak Frequent,57000,26000,12.8 km,26 km/h,101,528543,1705,1011,775,131,92%,2725301,25234,Coquitlam Central; Lafarge Lake-Douglas; Lincoln; Port Coquitlam,Expo/Millennium Line; West Coast Express,27870.2795,2022,291,27870.27983
189,COQUITLAM CENTRAL STN/LAFARGE PARK,Northeast Sector,Mini-Bus,Standard,21000,8000,4.1 km,20 km/h,168,71196,227,137,112,0,92%,620567,7502,Coquitlam Central,Expo/Millennium Line; West Coast Express,9306.995423,2022,292,9306.995264
191,COQUITLAM CENTRAL STN/PRINCETON,Northeast Sector,Std. Bus,Standard,36000,14000,7.2 km,24 km/h,135,202641,641,411,331,6,88%,1071518,9921,Coquitlam Central; Lafarge Lake-Douglas,Expo/Millennium Line; West Coast Express,20946.84394,2022,293,20946.73279
