Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
228,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Peak Frequent,37000,9000,7.8 km,20 km/h,100,770599,2389,1757,1346,27,87%,2150330,19910,Lynn Valley Centre NightBus,None,19324.02772,2019,90,19324.02772
229,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Standard,48000,15000,6.2 km,16 km/h,74,1213781,3693,3010,2216,529,84%,2277139,21085,Lonsdale Quay; Lynn Valley Centre NightBus,None,11584.1211,2019,91,11584.1211
230,UPPER LONSDALE/LONSDALE QUAY,North Shore,Std. Bus,Standard,39000,13000,5.7 km,16 km/h,86,956370,3057,2013,1444,675,86%,1811029,16769,Lonsdale Quay,None,13176.3666,2019,92,13176.3666
232,GROUSE MOUNTAIN/PHIBBS EXCH,North Shore,Std. Bus,Standard,45000,15000,13.3 km,21 km/h,92,902049,2800,1916,1667,293,79%,2207795,20443,Edgemont Village; Phibbs,None,28175.24871,2019,93,28175.24871
236,GROUSE MOUNTAIN/LONSDALE QUAY,North Shore,Std. Bus,Standard,26000,13000,9.6 km,22 km/h,105,652855,1671,2148,1963,138,84%,2251503,20847,Lonsdale Quay,None,18656.00417,2019,94,18656.00417
239,CAPILANO UNIVERSITY/PARK ROYAL,North Shore,Std. Bus,All Day Frequent,39000,26000,13.2 km,17 km/h,36,3142163,9867,6814,5177,2369,84%,7058785,65359,Capilano University; Lonsdale Quay; Park Royal; Phibbs,None,27685.58485,2019,95,27685.58485
240,15TH STREET/VANCOUVER,North Shore,Std. Bus,All Day Frequent,90000,137000,12.5 km,19 km/h,28,3477499,10498,8853,6346,12343,78%,6048463,56004,Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,26934.17301,2019,96,26934.17301
241,UPPER LONSDALE/VANCOUVER,North Shore,Std. Bus,Peak Only Limited,95000,138000,11.7 km,19 km/h,123,363851,1458,0,0,1884,77%,944596,8746,Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,26811.31197,2019,97,26811.31197
242,LYNN VALLEY/VANCOUVER,North Shore,Std. Bus,Special,123000,147000,13.1 km,23 km/h,211,14169,0,39,195,0,79%,57245,530,Lonsdale Quay; Lynn Valley Centre NightBus; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,32226.88367,2019,98,32226.88367
246/249,LONSDALE QUAY/DELBROOK - HIGHLAND/DOWNTOWN,North Shore,Std. Bus,Peak Frequent,99000,137000,9.4 km,20 km/h,64,1420367,4497,2903,2317,1403,74%,3971308,36771,Edgemont Village; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,33499.10473,2019,99,33499.10473
